Reviews,Comments
4 of 5 bubbles,"Generous portion
Made with locally sourced ingredients 
This is my favourite brunch plate in Ithaca !"
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4 of 5 bubbles,"I definitely can smell it and almost can taste it. We are on our extended winter trip South and cannot wait  for a Pizza, Veal Parm and Raviolis.  In my opinion the best old school Italian NJ  offers.  I have been following the reports of...More"
4 of 5 bubbles,"Steak was perfect. Definitely pricey but delicious, so weâ€™ll worth it.
Waiter was ok, but he was just a little slow and unresponsive

Worth going to, maybe once a month."
4.5 of 5 bubbles,There is so much to say about this Great restaurant. The service was excellent and fast. The orders came out as requested. The food was hot and so tasty. BYOB makes it that more inviting
4.5 of 5 bubbles,"If your ready for a great salad, go to Eatzi's!  They have a lot of entrees, but my ""go-to"" meal is the salads.  Hand made to my tastes.  These guys ROCK!"
4.5 of 5 bubbles,Met family members here for cocktails and dinner. Nice bar area with a few high tables that If you choose you to you can have something to eat there. The Dining area is in back of the bar area. It is A lovely room which...More
4.5 of 5 bubbles,"Tavern 23 is a hidden gem in the city of Poughkeepsie. I went Saturday for dinner with my wife. Had the Sirloin Tip Stroganoff along with the Shrimp Chowder. Delicious.
I also come here for lunch. The soups are always good . So are the...More"
4.5 of 5 bubbles,"We were out in Elizabeth for some shopping 
and decided to lunch locally. Algarve was close, had solid TA reviews, so we gave it a try. Impressed. The Octopus appetizer was perfect. I enjoyed the Bacalao Grelhado, which was also very good. Vinho Verde was...More"
4 of 5 bubbles,"While traveling on business I was craving poke and this place had solid reviews. Fish was fresh and the flavors blended well...without the extra sauces that some poke places overdo. Fast, fresh, and very filling. Plus, they offer solo beer and other drinks if you...More"
5 of 5 bubbles,"We have had dinner here many times. No complaints. This time around my prime rib was tough and fatty. Couldn't even cut it. My potato was like warm. They weren't even that busy when we got there However our server was great. 
Thecips"
4 of 5 bubbles,"I had somehow gotten on their email list and the place always sounded interesting so I met a friend for dinner here.  The menu has a lot of very interesting sounding dishes on it.  They also have wine flights that you can have.

The food...More"
4 of 5 bubbles,"This Restaurant is in a small strip mall but once inside, you can forget where you are. Parking is adequate for the location and space for additional parking in the rear.

It is run by a local husband and wife team for many years and...More"
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,"Lovely food, thoughtfully seasoned by artists.  The crostini appetizers and the arugula salad offered a great balance of flavors. I had the chicken piccata; it came with a caper sauce, perfectly cooked asparagus, and fingerling potatoes.  My spouse had Straw and Hay Fettucie featuring house...More"
4.5 of 5 bubbles,This is a real find... the kind of old-school one-of-a-kind joint that wouldn't still exist in bigger cities where there's more competition (aka national steakhouse chains). It's just a block or so from the Davenport hotels so the location is great. The main floor looked...More
4.5 of 5 bubbles,Best pizza in Schenectady great service always friendly thereâ€™s definitely a reason they have Ben there so long itâ€™s great
4.5 of 5 bubbles,"I have to confess we ate theee different things in one evening, because, well everything is irresistible. The pistachio bombolone was heavenly. Stuffed to the gills with creamy, pistachio goodness. And the mini croissants were also filled with luscious cream. And the Nutella latte. Yum....More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Bring your appetite for this family, friendly well known local Resteraunt in Tottenville SI.  There is so many red sauce Resterauntâ€™s in town one wonders how can they all survive let alone thrive.   Go to Reggianoâ€™s for the answer. Quality food, BIG portions and good...More"
4.5 of 5 bubbles,I had a good dinner.  The food was tasty and arrived hot.  The service was attentive.  I enjoyed eating at the restaurant.
4.5 of 5 bubbles,"Just enjoyed lunch with friends. Food was delicious, nice selection and atmosphere was comfortable & relaxing. Our server, George was the best - so pleasant & attentive. Weâ€™ll surely be back."
4.5 of 5 bubbles,"I'm a NYC guy and this is just like on tv.  The place was filled with cowboys, cheap beer, and dancing.  The band was great and we had a fantastic time."
4.5 of 5 bubbles,Food is always fresh and good but the staff are beyond welcoming and attentive. I particularly love the eggplant salad and the red lentil soup.
4.5 of 5 bubbles,"On our Canadian Thanksgiving weekend we stayed in Bellingham with relatives. As they were not familiar with the area we had the pleasure of introducing them to places that we love. Of course Kulshan Brewing Company was a Must See! As ever, the beers offered...More"
4.5 of 5 bubbles,"Made famous by DDD.
Popular expect to wait. Go to the counter place your order and find a seat.
My piggy pork crepe was delicious fresh ingredients loved the light crepe sauce and crunchy slaw a big portion, we also ordered a Turkey rueben ok....More"
4.5 of 5 bubbles,Went to breakfast with my son on a Sunday morning.  The omelet menu is huge-each one described better than the next.  The waitress brought us coffee while we glanced over the menu.  Unfortunately these coffees were luke warm at best.  We ordered of breakfast and...More
4 of 5 bubbles,
4.5 of 5 bubbles,
4 of 5 bubbles,"We had our company Christmas lunch at Rossi's on Christmas Eve. Burgers all around! Just as good as back in the 'Burg, worth the visit."
4 of 5 bubbles,"Terrific food, particularly breakfast and lunch, at very reasonable prices.  I particularly enjoyed the house-made corned beef hash at breakfast."
4.5 of 5 bubbles,"Good greeting at door.  Great and fast wait person, Phil! Seafood gumbo was excellent. Blackened chicken salad, good.  No bread, but didnâ€™t need that anyway. Good atmosphere happy staff."
4.5 of 5 bubbles,"Locals all know that Cristianoâ€™s is one of the best local restaurants. Love their pizza, soup and salads. The pizza and salad combo is my favorite, while my husband loves the chicken fettuccine. They can get quite busy so for take out we always call...More"
4.5 of 5 bubbles,"We ate at Eva's at the Syracuse Winter fair . The Polish food was fantastic. We had the Polish sausage  and the stuffed cabbage . The food was simply fantastic and certainly reasonably priced . We also had cherry cheesecake , also fantastic homemade ."
4.5 of 5 bubbles,"Very tasty food, well prepared. Large portions, and excellent selection of dishes including many that are not found in typical chain Mexican restaurants. Good salsa bar, with limes and marinated carrots and radishes available."
4.5 of 5 bubbles,Wonderful breakfast! It can be crowded on the weekends but it is a hopping place. The food is hot and well prepared!
4 of 5 bubbles,
4.5 of 5 bubbles,"Special road trip just to eat here and they certainly lived up to all the hype. Mozzarella was none other than amazing. Guys behind the counter were fun, friendly and certainly made us feel welcome from our of town. Loved the food. Be sure to...More"
5 of 5 bubbles,"Visited in Dec after touring a museum, good stop for post-museum relaxation.  Although the parking in the area is not easy to find (and there is a towing area to be careful of).  The complaint here is that the service is slow.  We were there...More"
4.5 of 5 bubbles,
4 of 5 bubbles,"Beyond Sushi is a vegan food place with creative approaches! A friend of mine and I went there for a light dinner and we loved it! From service to food, everything was on spot! Definitely recommendable."
4.5 of 5 bubbles,
4 of 5 bubbles,"After giving my pizza order that would have cost $26, I was told of the special for $10 including 4 topping. Pizza was good but sparse on each toppings. Mentioned this to the manager with do you skimp on topping because of special? Naturally he...More"
4 of 5 bubbles,"One of our favorite spots in Bellingham. Staff is friendly, beer selection is great, and you can sit inside or out. Frequented by well-behaved pets and their humans, and usually thereâ€™s a food truck on site. Highly recommend!"
4.5 of 5 bubbles,"We went to the bistro at the ground level of the hotel we stayed just out of convenience. However, the food was so surprisingly delicious. We loved every dish we ordered that night. Not to mention the good price for the food quality. Will definitely...More"
4 of 5 bubbles,"...but not inspired.  In the old days, the Girardi brothers were enthusiastic and inspired.  So was this, the ""new"" Girardi's.  Over the years they have made good steps to lessen noise, and they remain friendly (though some wait staff can be a bit patronizing), local,...More"
4 of 5 bubbles,"Experienced terrible service at this place. Came on a Sunday for lunch with my family and after we were taken to our table, no one ever came to service. All the waiters were gathered together watching a soccer game on a cell phone by a...More"
4.5 of 5 bubbles,"By far the best rotisserie chicken I have ever had in my life, it is so juicy and seasoned to perfection.  The green sauce is amazing, large portions, two people could share a dish.  We need a Pio Pio in Brooklyn asap!"
4 of 5 bubbles,DaNoi on Fingerboard is back in operation since last January's fire but it's not the same.   Unquestionably the ingredients are still fresh but the preparation is not the same and the prices are considerably higher.  I ordered the rigatoni with sweet sausage and prosciutto in...More
4.5 of 5 bubbles,Had a great dinner with my daughter on a Tuesday night. We arrived a few minutes before they opened for dinner and glad we did. This place fills up quickly. The complimentary Spicy Hot Tomato Oil with stretch bread was delicious while we waited for...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Portion is huge. Endless hash browns offered but itâ€™s hard to get through the initial serving. Nice omelette with 3 ingredients at a very good price. 

Yummy jam. 

Good coffee.

Great service. Attentive and friendly. 

Canâ€™t go wrong here for breakfast."
4 of 5 bubbles,
4.5 of 5 bubbles,Surprisingly there is a ramen restaurant here. Friendly service. Suited to US taste but works for me when the temp is -5degC and the soup warm me up. Fried chicken is good.
4.5 of 5 bubbles,"This place is amazing! Every time my wife and I travel through Spokane we eat here. The building is cleverly decorated, the staff is amazing, and the food/beer is off the chain! Sheppardâ€™s pie and scotch eggs for me please!"
4 of 5 bubbles,
4 of 5 bubbles,Maybe i was there during an off time as it was early in the dinner hour.  The place relatively empty.  We ordered a family style which was delicious.  I then had the pasta with garlic and i tell you there were big cloves of garlic...More
4.5 of 5 bubbles,"What lovely dishes including perfect oyster.. the waiters couldnâ€™t be more nice. I would really love to visit here again. The recommended wine also went so well with their foods. This restaurant equips Kind and gentle service, nice foods, nice atmosphere. Highly recommend!"
4 of 5 bubbles,"We were regulars the past few years, even bringing extended family. We enjoyed some good meals, but had two terrible experiences that caused us to quit coming,

Service: Service is usually okay, I would say overall 3 out of 5 stars. Nothing special, just average....More"
4 of 5 bubbles,"Friendly service and good options. Can have a side salad instead of fries too.  I had cod, but pollock and haddock is available too. Food quality was good and I enjoyed my meal here."
4 of 5 bubbles,"Food was great, but timing of food was so so. Salads took away to get, but when we did get them our food came out right after. I sent it back and the waiter reordered the food. All was good!!"
4 of 5 bubbles,"We've eaten several Sunday breakfasts here and occasional dinners as well. The menu selections are very good. Service is generally very good, but Sunday mornings have the staff stretched a little. The atmosphere is pleasant and seating is comfortable. We will continue to return for...More"
4 of 5 bubbles,"Soup dumplings heaven! A place to visit if you love soup dumplings! Made to order!

Location: It is located in Main Street Flushing. The restaurant has few seatings inside, the interior is okay a little small, probably 30 seatings. The front desk is to narrow...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"I ordered the Osso buco special. 
Sauce was tasty but the meat was a little fatty. Not wonderful.
My wife ordered the seafood pasta. The mussels were miniscule.
Shouldn't be that hard to get Penn Cove mussels.
Whoever orders the food needs to buy elsewhere....More"
4.5 of 5 bubbles,"I was passing through on my way to North Jersey and happened to pull off the Parkway to stumble upon this place. I checked the reviews quickly and was not disappointed. 

I had the pork roll omelette (I live in Pa now but grew up...More"
4.5 of 5 bubbles,"surprisingly very disappointing for supposedly a very highly rated restaurant. table of six reserved for 12.30pm, ordered main course at 12.50pm, waited, waited, and waited till 1.50pm for our dishes to arrive. No apology, just wait staff avoiding our table because they knew the kitchen...More"
4.5 of 5 bubbles,"The restaurant has changed.  I think itâ€™s a positive for a limited menu restaurant to change items occasionally, so new items is a good thing.  The pad Thai was presented differently.  Fine.  But it was gloppy with no freshness.  The herb salad was flavorful, but...More"
4 of 5 bubbles,"My wife loves this place for it's vegetarian options. I've always judged Mexican Restaurants by their refried beans. I don't think La Palmera uses lard in their beans, they seem to lack a certain something, but they are very good.

Since the move they have...More"
4.5 of 5 bubbles,We ate in the upper room which was casual dining.Old Italian decor and fast friendly service. I had linguine with clam sauce (white) and it was great! Pasta cooked to perfection and a nice mild but flavourful sauce. We also had ravioli with meatballs. The...More
4.5 of 5 bubbles,"We really enjoyed the food, very tasty. We really enjoyed the almond cranberry pancakes. Definitely worth a visit. Itâ€™s a hidden gem."
4.5 of 5 bubbles,"We visited here on a recommendation from a friend and were very pleased we did. The pizza was delicious (the best weâ€™ve had on our trip) the atmosphere is warm, and the team are really friendly. It feels like a proper bar with personality unlike...More"
4.5 of 5 bubbles,"I got there at 5 PM on Tuesday.I sat at the bar and after awhile I ordered Mezz Otero and Roasted Apple mule. Wow, I am impressed with the food quality and the great service. I will be back. The customers were also pleasant."
4 of 5 bubbles,"Nothing made my birthday more special than spending it here, with some of the people I love and cherish the most..I love this restaurant!..They have never disappointed me..The food was superb and they have some of the best customer service around.."
4.5 of 5 bubbles,
4.5 of 5 bubbles,My wife and I went New Years Eve and were not disappointed. Great restaurant with a great vibe to it. Service was excellent and the food was fantastic. It is pricey but worth it.
4 of 5 bubbles,
4.5 of 5 bubbles,We arrived on LBI planning on going to restaurants we had been to on previous visits to the island only to find them closed. This was our first visit past prime season. We found La Spiaggia was open on a monday night. We have found...More
4.5 of 5 bubbles,Was looking for a new breakfast place to go for our family Sunday breakfast. Came across this from other reviews. This place is open 7 days a week 7-8am to 3pm. It serves both breakfast and lunch items. Portions are large in size and reasonably...More
4 of 5 bubbles,Its been about a year since my last visit at this restaurant and the overall experience was very good! Our waitress was attentive and friendly! The Prime Beef Dip Sandwich with fries was very good except the fries were okay! My wife Asian salad was...More
4 of 5 bubbles,
4.5 of 5 bubbles,It was very good...da bes! We will go there when we are in the area now that we know where we can get ono Saimin! We come from 2 hours away for some good saimin!
4.5 of 5 bubbles,"The restaurant is small but is worth waiting for seating.  Wonderful crepes, drinks and service. I will visit again."
4.5 of 5 bubbles,"My Husband and I love their food but the tortillas are the star of the show. Soft, pillowy and just the right thickness. Fresh tasting not day old warm ups."
4 of 5 bubbles,"They have great, waitress are nice. it is nice place to hang out, have very good time with friend or family."
4.5 of 5 bubbles,
4 of 5 bubbles,"Excellent Italian restaurant boasting creative cuisine; the kitchen cooks with passion.  Try the desserts!  Great wine list and bar selections.  Service staff are prompt,
professional and have petsonality.  Very romantic setting, greets casual or ""dressed up"" with cordial hospitality. Can't wait to try the outdoor...More"
4.5 of 5 bubbles,"Once again, I can not resist ordering the taco salad.  The portions are very large, and the taste is out of this world!  For the first time, I tried the seared chicken, which may be even better than the beef.  This salad covers the entire...More"
4 of 5 bubbles,"Our first visit will not be our last! The wait was about 20 minutes but well worth it. The chips really are phenomenal! My tuna bites and salad were so fresh, and the tuna was cooked perfectly! My husband was very pleased with his crabcakes....More"
4.5 of 5 bubbles,"During my frequent visits to Seattle, I had not eaten at this restaurant for few years, provably because of its distance. I went back this month and the experience was once again excellent. The charm of the place and the setting are the same wonderful...More"
4.5 of 5 bubbles,On a rainy evening we went to Purple and had a terrific experience. Wait staff were very attentive. Food choices were interesting-Fried chicken night had 2 of the group indulge in some yummy comfort food while the other two did  a trout dish. Wine flights...More
4 of 5 bubbles,"Everything was very fresh and reasonably priced, one of my favorite places in Queens.  Rather close to Jackson Heights rail stop as well, so very convenient"
4.5 of 5 bubbles,"There was absolutely nothing not to love about this great spot. We are ethnic food afficionados and travel alot. Of our four dinners in Manhattan, this is our numero uno choice. The food was absolutely delicious ( chicken tikka masala with a bit of added...More"
4.5 of 5 bubbles,
4 of 5 bubbles,Love the chicken and the brisket enchiladas. Will be there when the new location off Forest Park opens!
4.5 of 5 bubbles,
4.5 of 5 bubbles,"I know this place has a rep for the best breakfast in Arlington, but the lunch does not take a second place. It's spot on. The Chicken Fried Steak is best in the city. I'm not excited about the rolls or the cornbread, but the...More"
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,We had several types of Fresh sushi with generous portions. Eggplant dish was delicious as well. Service was excellent.
4.5 of 5 bubbles,
4 of 5 bubbles,Cery good Vietnamese food with affordable prices. New York in a pocket . I will be back very soo. Thank you!
4.5 of 5 bubbles,"Excellent food! Amazing salsa bar! Friendly and professional staff. Its a little run down, but I can see how with so much traffic going through there! Its always packed!"
4.5 of 5 bubbles,"It's a review that has been a long time coming. I first enjoyed Couzin's Cafe with a friend last August, when we were visiting the Kirkland area. We liked it so much, we went back for a second breakfast. Then, this August, I took a...More"
4 of 5 bubbles,"You name it: Breakfast, Lunch or dinner. The selection it is great.

The appetizers and desserts too

No small wonder NJ is known for its diners."
4 of 5 bubbles,Stopped in for breakfast yesterday morning and it did not disappoint! I am curious about the brand of coffee that you serve. Is it available for purchase?More
4.5 of 5 bubbles,"Their Salmon, Cod (with cheery tomatoes, mushrooms and arugula) and Eggplant parmesan were good.  Service is not and with valet parking.  It was nice that all tables have fresh flowers!"
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"WOW, what a great experience.  Authentic Australian drinks, food and culture here in Astoria, NY.  The atmosphere here is fun and very lively.  From the appetizers to the entrees everything was delicious .  My friends and I took the advice of the owner and staff...More"
4.5 of 5 bubbles,"Perhaps they were just a bit ""off-game"" right after the Holiday and New Years rush. Went Jan 2nd for my birthday, before theater. Nice atmosphere; fairly pricey. The paella was pretty overdone, with blackish/burnt spots and very tough/chewy shrimp. Started with bread service and then...More"
4.5 of 5 bubbles,D'Angelo's has a nice selection of Italian favorites. It's a great location for lunch and a nice place to pick up some favorites.
4.5 of 5 bubbles,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only.  The meats and sausages looked amazing in the butchers counter but we were just in for two hero's and a...More
4.5 of 5 bubbles,Great place to meet friends for lunch! This time I ordered the small baked potato with fried chicken and queso! It was plenty! The menu at George's has something for everyone! It draws a large crowd 7 days a week!
4.5 of 5 bubbles,"Been there several times, sometimes itâ€™s good, some times itâ€™s not.  Short ribs are OK, but the lobster bisque was unrecognizable.   Tasted like spices and salt.  
Itâ€™s not cheap, and for the price, there are much better places in town."
3.5 of 5 bubbles,"Truly an outstanding breakfast. I had the scotch egg with a side of millionaires bacon and could not have been happier. The food was absolutely delicious, the service was impeccable and the atmosphere was great. I cannot express enough how great this restaurant was."
4.5 of 5 bubbles,"Our lunch was delicious and the portions were generous. My first bite of my gyro was full of garlic and dill. I ordered my fries Greek-style--covered with feta and oregano--great choice. My husband chose the lamb plate-- it came with rice salad, pita and hummus....More"
4.5 of 5 bubbles,"YUM! The service at Ginoâ€™s is quick and extremely hospitable, the food is fresh and yummy. Highly recommend."
4 of 5 bubbles,"Food was average.  Ordered a gyros, was deeply disappointed, but then again I should only order those at Greek restaurants.  Granddaughter had a birthday party, thought staff at the restaurant might make it a little more special, not one staff person wished her a Happy...More"
4 of 5 bubbles,"Our group of two couples walked in and were immediately seated. In a very short time we got our menu and our beverages. 
Our waiter came and was extremely friendly and gave a lot of help explaining items on the menu. The soup and breadsticks...More"
4 of 5 bubbles,"My business partner and I were in Buffalo on business.  Decided to try Lombardo Ristorante, and we had a great meal.  We ate at the bar.  Service was over the top, and friendly.  The food was just wonderfully prepared and presented.  This is a must...More"
4.5 of 5 bubbles,Wow one the best burgers in the world with a variety of food to chose from the menu plus the shakes are to die for.
4.5 of 5 bubbles,Started a late season football Saturday here. Bar staff was more than helpful with explanations and recommendations to work our way through a lengthy list of beers; the food choices for lunch were diverse and allowed two picky eaters to find something they were plenty...More
4 of 5 bubbles,"This is the second time Iâ€™ve eaten there and my first brunch. A total WOW! The scenery is absolutely stunning of Lake Washington, the Kirkland Marina and off in the distance Some of Seattle and the old Sand Point Navel Air Station. And each of...More"
4 of 5 bubbles,"We had a very enjoyable lunch. We went on Valentine's Day. They offered a very nice menu- specials, appetizers, salads, pasta dishes, chicken, fish, veal dishes, drinks and desserts. We orders two entrees- vegetable lasagna and a chicken dish with three kinds of mushrooms- pasta...More"
4.5 of 5 bubbles,We ate at each location once during our trip to Houston. They were both great. Food was delicious and the service was great!
4.5 of 5 bubbles,Have not been here in a bit of time . . . . Better than ever today . . . ..  can not  oming here for a bite to eat .    SOLID
4.5 of 5 bubbles,
4.5 of 5 bubbles,"We came to eat to celebrate my birthday, the food was amazing, the service outstanding, the atmosphere and ambience in the restaurant super nice, Overall great experience I will definitely recommend it!"
4.5 of 5 bubbles,"Second time here, first time for dinner. We were seated promptly, which was great as they were fairly busy on a Friday early evening. We started with the Pork Gyoza, essentially pot stickers. Very good and the right â€œweightâ€ for an appetizer. Also had a...More"
4.5 of 5 bubbles,"Fantastic food, fantastic service. Slightly upscale food/service in a relaxed setting. Highly recommend."
4.5 of 5 bubbles,"It was a cold and rainy November night when I met a friend here for light fare and drinks at the bar. At 5:30 p.m., many tables still remained vacant in the lovely dining room but we had agreed to enjoy a less formal dining...More"
4.5 of 5 bubbles,Cute little place in a nice neighborhood off the beaten path of downtown San Antonio.  The atmosphere was sweet and comfortable - the staff kind and knowledgeable.  The food and beverages were excellent!
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Great staff, very friendly. Wasn't sure about which wine to have and our server offered to bring something else if I didn't like my first choice. My spouse asked for a substitution of chicken for the Tilapia Florentine and it was no problem. Very attentive...More"
4 of 5 bubbles,"Arrived around 730 for dinner, staff was slow and the place wasn't that busy. Pizza was nothing special, disappointing for an actual pizza spot. Don't forget it's on Waterway so you'll have to find parking."
4 of 5 bubbles,
4.5 of 5 bubbles,"I ordered food here using Uber Eats and the pizza, garlic bread, and garlic knots were delicious. It was very fresh."
3.5 of 5 bubbles,Food was very good and service was second to none. Very friendly owners who cater to the customers very well. I will be going back very soon.
5 of 5 bubbles,
4.5 of 5 bubbles,This is a fantastic Thai restaurant.  The pad Thai is delicious with a nice texture.  The service was quick and friendly.
4.5 of 5 bubbles,
4.5 of 5 bubbles,Great place for breakfast on a Sunday morning. Love the atmosphere. Wonderful food and service and history.
4.5 of 5 bubbles,"This is our first time here....we could not get in last time we went because it was so crowded....and today we discovered why
....this place is really good...if you have a big appetite....you are in for a treat and I am pretty sure you cannot...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"We made a Saturday night reservation for this popular, family-owned restaurant that has been around for more than half a century, and strongly recommend doing that to avoid waiting. The wine list was decently varied with helpful hints of which wine went with which foods....More"
4 of 5 bubbles,"It's definitely an interesting (and successful) approach to offer a range of Asian foods ""tapas-style"".  Allowing us to try a variety of dishes. My favorite was the octopus salad. Other faves were the homemade Thai Sausage and the Sun-Dried Beef with Sticky Rice.  The decor...More"
4.5 of 5 bubbles,"Service was the worst ever and the food was mediocre at best.  Read on for more:

We were seated for about seven minutes before our order was taken.
We were not given the little appetizer dishes until 15 minutes after that, and only because I...More"
4.5 of 5 bubbles,"I have frequented this restaurant several times. They have an excellent food and drink selection, and the service is spot on."
4 of 5 bubbles,Met my family for a Christmas get together. All the food was excellent. Service was exceptional. Will definitely  return to this charming place.
4.5 of 5 bubbles,
4 of 5 bubbles,My friends and I went and the cashier said donâ€™t ever come back again since you cant pay enough tips. Weâ€™re 17 we go here on the regular and always tip $30 to the servers and the one time we didnâ€™t she embarrassed us Infront...More
4.5 of 5 bubbles,"I quite enjoyed my taco's al pastor Saturday special.  This is a great spot for a quick bite, but its not a fine dining experience.  Bright seating area with lots of windows.  If I lived closer, I would be a regular here."
4.5 of 5 bubbles,"A group of 6 women had brunch ob 1/19/20.  First the good news:  the service was attentive and efficient.  The sparkling wine flowed, waiters wandered about the room with large trays of lamb chops, coconut shrimp, sushi ..all delicious.  First course delicious, butternut squash soup...More"
4.5 of 5 bubbles,Its been a couple years since I've been. Unfortunately the service is still inattentive. I also felt the food was not as good. Wings tasted just like franks red hot and marinara tasted like it was from a jar. Maybe just plan to sit at...More
4.5 of 5 bubbles,My lady & I had dinner there both nights We visited incoopville Wa.  onWhidbey Island.   The taste bud experience was to die for. I highly recommend the Caramelized Brussels Sprouts. I normally do not care for Brussels Sprouts but there presentation was out of this...More
4.5 of 5 bubbles,"I would recommend Lobster mac-n-cheese as an appetizer, large portion plenty for 4 people to share. All of what we ordered was great. Service was timely and good atmosphere. Home town restaurant I give it a big thumbs up."
4.5 of 5 bubbles,My husband brought me here for my birthday.  What an amazing place. The ambiance and decor was outstanding. Our server Benson provided us with exemplary service. He was attentive and made us feel very special.  This restaurant is by far the best restaurant I've been...More
4.5 of 5 bubbles,
4 of 5 bubbles,"I am from Canada and we love going here the food the service is sooooo good , the servers are all nice and the gift shop is awesome ðŸ˜Š"
4 of 5 bubbles,We try to plan our cross country trips to include a stop at Tylerâ€™s for the incredibly good â€˜cue and sides. Never ever disappointed. The depth of favor and smokiness in the meats is sublime. The staff is always friendly and helpful. I had creamed...More
4.5 of 5 bubbles,"I went there for dinner with friends and I had the blackened salmon.  It was very tasty.  I also had the mashed potatoes as a side, I cleaned my plate!  The food was good.

Long wait for the table, but thereâ€™s a bar you can...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Family style, great food, staff phenomenal , other customers joined in to sing happy birthday and dessert, was paid for by dinners near to us so sweet it was real family fun , we took longer than we should have other people were waiting but...More"
4.5 of 5 bubbles,"The bill for 4 of us came with an 18% tip already added to the bill.  I gave them my credit card, and the signature page came with pre-calculated additional tips and a place to add more, and the original bill, which already had the...More"
4 of 5 bubbles,"I have been coming to this place every time I want a good size beef fajita parrillada, because the are like the originals, srving it to go with torillas, carro beans, 2 salsas, and key limes, so you have everything for a dinner"
4 of 5 bubbles,Great food! Ribs are some of the best around.  People come around with hot rolls at are to die for!  Relaxed atmosphere.
4 of 5 bubbles,"Great place to celebrate an occasion or just to go to dinner with your significant other. 
The food is cooked fresh and comes out steaming hot."
4.5 of 5 bubbles,"Had heard about this place for a long time so decided to try it. The steak was good. I would not rate it better than Cattlemanâ€™s but it was good. The garlic mashed potatoes were warm not hot as was my wifeâ€™s spinach. 
The fact...More"
4.5 of 5 bubbles,"Date of visit: Friday, January 17th, 2020

When we visit Buffalo & Niagara area, one of our favourite places to go for dinner is Lagalera.  We have been going here for years, even when they were in their previous location. 
We have always found this...More"
4.5 of 5 bubbles,"Delicious and different. Israeli and eastern Mediterranean cuisine is no longer inaccessible--usually healthy and flavorful. Mishmish was a step above the rest--unique combinations and especially seasoned. Brunch was a delight--Israeli breakfast, shakshouka. Dessert choices were limited but exceptional. Generous portions and not outrageously priced."
4.5 of 5 bubbles,Another sports bar without good food.  Iâ€™m hoping the drinks are good but thatâ€™s not why we went there.
4 of 5 bubbles,"Ate dinner here tonight for the first time. I donâ€™t even know where to begin.........
Letâ€™s start with the cocktails. I ordered a vodka martini with olives. I was drinking out of a thimble size glass and they charged $7.00! 
I ordered the baked scrod...More"
4.5 of 5 bubbles,The service was very pleasant though slow.  The food was good but not exceptional.  The music was too loud.  Not a bad experience but will not return.
4 of 5 bubbles,"We got there as soon as they opened (5pm) on a Thursday night. Itâ€™s a small restaurant, but it looks like they can put quite a few people in there. Call for reservations to be safe. Everyone was dressed pretty casual. The food was excellent...More"
4.5 of 5 bubbles,My husband and I had not been to Parkside in a number of years. The food never disappoints. Excellent imported Parmesan cheese with bruschetta. I loved the meat bread. Grilled swordfish was great and so was the calamari/scumgilli fra diabolically. We were lucky enough to...More
4.5 of 5 bubbles,
4 of 5 bubbles,Although the old manager George is no longer there the food quality is still good. The wait staff at times can be a challenge. Itâ€™s usually a hit or miss on their attentiveness. Prices are reasonable and never had a bad meal there.
4 of 5 bubbles,Fresh delicious seafood! Been living in this area 12 years and didnâ€™t know we had  a gem in town ! Definitely a must try!  Superb service ! My husband donâ€™t like to eat out but he said we will be back !
4.5 of 5 bubbles,"Professional staff, Outstanding service.
Will return for a great meal next time I travel to this area.  Food was top-notch."
4.5 of 5 bubbles,Pho and service was EXCELLENT! I look forward to eating there again and will be sure to take pics. Establishment is located in a shopping centrr so there is plenty of parking.
4.5 of 5 bubbles,"We made reservations for 16 on a Saturday night.  It was great experience, the food was excellent, and service was very good for that large of a party. We were from out of town and everyone really enjoyed the evening!! We had a nice mix...More"
4.5 of 5 bubbles,We get GF pizza from Uncle Petezas frequently and itâ€™s very good. We like their sauce and good amount of cheese. Weâ€™ve also had their salads which are a good size as well.
4.5 of 5 bubbles,
4.5 of 5 bubbles,"We were visiting in Dallas, and met friends for dinner at Chamberlains. The food and service were outstanding, the wine list extensive, and overall experience was first rate. They bring a plate of different breads when you are seated, the  variety and amount of bread...More"
4.5 of 5 bubbles,"Like walking into a time machine.

Went for breakfast (meats are delicious) but will return for lunch on next visit to Corpus.

Typical diner menu. Lots of regular customers."
4.5 of 5 bubbles,This was our first visit to The Patio.  Our waiter (Reuben) was attentive without being too overbearing.  Atmosphere was nice as we were seated away from the bar and the live entertainment so we were able to hold a conversation without yelling.  Food was sensational....More
